id,name,type,mimeType,driveId,driveName,parent_id,full_path,createdTime,modifiedTime
1hf50COPanw1WE9Caw6Nrcj4h6TeZfqe7,투자심사보고서(소셜빈)_2023에스초격차지역균형발전투자조합_20240812_F.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1m09jtV5aG6wdl_L3vCcMgDUT1QEQ0oL6,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/46. 2023에스초격차지역균형발전투자조합 (에스벤처스)/06. 투심보고(해당자)/20240820_(주)소셜빈/투자심사보고서(소셜빈)_2023에스초격차지역균형발전투자조합_20240812_F.pdf,2024-08-20T01:34:49.259Z,2024-08-20T01:33:52.000Z
1AT_SvQTgDWKP2RwwanUY9GfLMNc_2m-Z,1. 투자심사보고서(글로브포인트)_2023에스초격차지역균형발전투자조합_ver.final.3.1..pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1aIwh2k1QN2ctjF9XOVVmUn-FJb29HmUk,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/46. 2023에스초격차지역균형발전투자조합 (에스벤처스)/06. 투심보고(해당자)/20240819_(주)글로브포인트/1. 투자심사보고서(글로브포인트)_2023에스초격차지역균형발전투자조합_ver.final.3.1..pdf,2024-08-20T01:12:32.526Z,2024-08-20T01:12:03.000Z
1M7tLxEmDhPphDzgJGO_da_dB78nf8muw,투자심사보고서(클라우드앤)_2023에스초격차지역균형발전투자조합_최종.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1Hb3xw3nPAo12H8T7dF59Mt6vrOHlT52f,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/46. 2023에스초격차지역균형발전투자조합 (에스벤처스)/06. 투심보고(해당자)/20240328_㈜클라우드앤/투자심사보고서(클라우드앤)_2023에스초격차지역균형발전투자조합_최종.pdf,2024-03-21T08:48:05.000Z,2024-08-19T10:27:02.735Z
1lUTUnrdAGnbDz3lb6zk92dyVtRA6wISo,[씨지인사이드] 투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1KqgDRWC09MpUV3Z6PTARwQrcY7fhb4XK,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/34. 파인드어스 투자조합2호 (파인드어스)/06. 투심보고(해당자)/20240812_씨지인사이드/[씨지인사이드] 투자심사보고서.pdf,2024-08-07T05:38:36.311Z,2024-08-07T05:36:29.000Z
1N9GEjgnydSL5PoiW6L-GGKe0G_JBad0P,[피트인] 투자심사보고서.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1gaiF19v4_58EfAU7je6MR0RkXXY-bmhY,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/34. 파인드어스 투자조합2호 (파인드어스)/06. 투심보고(해당자)/20240807_피트인/[피트인] 투자심사보고서.pdf,2024-08-02T07:55:24.169Z,2024-08-02T07:53:37.000Z
1ty36vcv9spSYRM30cbyjMNFY1f7qWRIC,240731_애즈위메이크_투심보고서_WE청년1호.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),19F7vnKTotuYsaC6yWpMF-sxCqY5otQSq,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240807_애즈위메이크/240731_애즈위메이크_투심보고서_WE청년1호.pdf,2024-08-01T04:24:45.963Z,2024-08-01T04:22:09.000Z
1NPrN_iWhabInE7_nLebrnWptD6c6eC5w,240729_웰로_투심보고서_WE청년1호.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),18chl18GIxvq8q0ryrKFRJp05rqni9jJA,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240805_웰로/240729_웰로_투심보고서_WE청년1호.pdf,2024-07-30T00:14:11.555Z,2024-07-30T00:10:12.000Z
1V7PLXCcVghaxd9gjeqbvV8NVd-KUKhZ3,(첨부1) 투자심사보고서_베슬에이아이코리아.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),1Up9J6ISbZTGtWRP9uUbaoWPR3P20ir5z,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/47. 에이벤처스 W 유니콘 투자조합 2호 (에이벤처스)/06. 투심보고(해당자)/후행투자/(첨부1) 투자심사보고서_베슬에이아이코리아.pdf,2024-07-29T00:48:13.687Z,2024-07-29T00:48:11.098Z
15TupBBtjBRI4hEhj91SMottx6oWo9CeY,240722_패러블엔터테인먼트_투심보고서_WE청년1호(후행).pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),15QEQJh_Udk-U3CbQN7ga6I2leexbEqgf,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240729_패러블엔터테인먼트/240722_패러블엔터테인먼트_투심보고서_WE청년1호(후행).pdf,2024-07-23T05:26:21.891Z,2024-07-23T05:23:57.806Z
1ajn6NnefDjfXG0swkbEXPRBImx5HTGy6,240717_에이엠시지 투심보고서_WE청년1호.pdf,file,application/pdf,0ADRmYMCfHI3HUk9PVA,투자실(권한 주의),14tIBNvjkA8AZ2BEZaNIM3O1SlVeRep4z,/투자실(권한 주의)/03. 펀드팀/★04. Type 2/30. WE청년 메이트 펀드 1호 (위벤처스)/06. 투심보고(해당자)/20240724_에이엠시지/240717_에이엠시지 투심보고서_WE청년1호.pdf,2024-07-17T08:59:25.855Z,2024-07-17T08:55:32.000Z
